Model Outputs
200
,,Id_5:LPelvisAngles_M,,,Id_5:LHipAngles_M,,,Id_5:LKneeAngles_M,,,Id_5:LAnkleAngles_M,,,Id_5:RPelvisAngles_M,,,Id_5:RHipAngles_M,,,Id_5:RKneeAngles_M,,,Id_5:RAnkleAngles_M,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg
1,0,11.6592,-4.05804,3.85701,-7.16673,2.03238,-14.0792,12.842,-5.23748,-11.0717,9.62957,-4.73223,20.7724,11.6592,4.05804,-3.85701,50.8358,5.17068,-12.2172,55.9661,-6.79792,-15.6989,6.7064,-4.35291,15.1718
2,0,11.6453,-4.23842,4.21399,-7.94061,1.85996,-14.4546,12.1338,-5.12372,-11.8399,7.86934,-4.97966,21.8167,11.6453,4.23842,-4.21399,50.3295,5.66206,-12.4058,53.7851,-6.96607,-15.2538,6.77559,-4.40736,15.358
3,0,11.6286,-4.43471,4.61071,-8.78761,1.67642,-14.9103,11.3991,-5.00998,-12.6722,5.806,-5.25946,22.9791,11.6286,4.43471,-4.61071,49.7288,6.19009,-12.5943,51.3035,-7.10756,-14.8023,6.88576,-4.49453,15.6552
4,0,11.609,-4.64166,5.0402,-9.6864,1.48742,-15.4489,10.6701,-4.9015,-13.5471,3.44051,-5.56653,24.2316,11.609,4.64166,-5.0402,49.0376,6.73978,-12.7751,48.5604,-7.20618,-14.3768,7.05312,-4.62341,16.093
5,0,11.5865,-4.8537,5.49368,-10.6111,1.29802,-16.0674,9.98422,-4.80394,-14.4384,0.785506,-5.89254,25.5343,11.5865,4.8537,-5.49368,48.2567,7.29544,-12.9329,45.5953,-7.23856,-13.9913,7.28325,-4.79464,16.6716
6,0,11.5606,-5.06441,5.96193,-11.5333,1.11306,-16.7616,9.38321,-4.7244,-15.3185,-2.12973,-6.22757,26.8433,11.5606,5.06441,-5.96193,47.3938,7.84231,-13.0543,42.4614,-7.18717,-13.6752,7.57879,-5.01054,17.396
7,0,11.5293,-5.26864,6.43509,-12.4261,0.935177,-17.5212,8.90887,-4.66997,-16.1552,-5.26105,-6.55817,28.1054,11.5293,5.26864,-6.43509,46.4592,8.36808,-13.1303,39.221,-7.04263,-13.4556,7.94518,-5.27224,18.266
8,0,11.4947,-5.45985,6.90437,-13.2593,0.766908,-18.3333,8.60246,-4.6488,-16.9195,-8.54742,-6.87093,29.2719,11.4947,5.45985,-6.90437,45.4692,8.86339,-13.1391,35.9392,-6.79524,-13.337,8.37995,-5.56866,19.2406
9,0,11.4507,-5.63383,7.36094,-14.014,0.608804,-19.1816,8.50112,-4.66933,-17.5825,-11.9102,-7.15231,30.2985,11.4507,5.63383,-7.36094,44.4351,9.32076,-13.0859,32.675,-6.45698,-13.336,8.87128,-5.89809,20.3098
10,0,11.3991,-5.78561,7.79709,-14.6669,0.460253,-20.049,8.63759,-4.73997,-18.1193,-15.2575,-7.39179,31.1552,11.3991,5.78561,-7.79709,43.3779,9.73537,-12.9598,29.4868,-6.03847,-13.4737,9.40473,-6.2567,21.4564
11,0,11.332,-5.9122,8.20661,-15.2093,0.32036,-20.9172,9.03826,-4.86838,-18.5098,-18.4887,-7.58204,31.8246,11.332,5.9122,-8.20661,42.3074,10.1045,-12.7556,26.4256,-5.55734,-13.7427,9.95974,-6.63393,22.6426
12,0,11.247,-6.01038,8.58427,-15.6329,0.187684,-21.7683,9.72129,-5.06032,-18.7385,-21.504,-7.72016,32.3044,11.247,6.01038,-8.58427,41.2408,10.4264,-12.476,23.5376,-5.03931,-14.1356,10.5155,-7.02287,23.8436
13,0,11.1444,-6.07555,8.92609,-15.931,0.0621641,-22.5857,10.6978,-5.31975,-18.7985,-24.2148,-7.80787,32.6065,11.1444,6.07555,-8.92609,40.1941,10.6988,-12.119,20.8576,-4.50783,-14.6505,11.0489,-7.41934,25.0444
14,0,11.0161,-6.10869,9.22955,-16.1114,-0.0589371,-23.3563,11.9715,-5.64768,-18.6853,-26.5427,-7.84865,32.7462,11.0161,6.10869,-9.22955,39.174,10.9238,-11.6932,18.4168,-3.98876,-15.2556,11.5406,-7.8133,26.2137
15,0,10.8581,-6.109,9.49215,-16.182,-0.176461,-24.0671,13.539,-6.04184,-18.4032,-28.4351,-7.84728,32.7415,10.8581,6.109,-9.49215,38.1882,11.1025,-11.1996,16.2393,-3.50387,-15.9392,11.9735,-8.20101,27.3409
16,0,10.6739,-6.07151,9.71235,-16.1456,-0.287461,-24.7071,15.3905,-6.49688,-17.9576,-29.8579,-7.80722,32.6043,10.6739,6.07151,-9.71235,37.2502,11.2324,-10.6319,14.3405,-3.06732,-16.6872,12.3314,-8.57619,28.4094
17,0,10.4579,-5.99777,9.88961,-16.0181,-0.39206,-25.271,17.5114,-7.00483,-17.358,-30.8014,-7.73008,32.3387,10.4579,5.99777,-9.88961,36.358,11.3148,-10.0025,12.7299,-2.69237,-17.4456,12.5994,-8.92469,29.382
18,0,10.2113,-5.89011,10.0244,-15.81,-0.49124,-25.7532,19.8824,-7.55433,-16.6204,-31.2789,-7.61531,31.9407,10.2113,5.89011,-10.0244,35.5178,11.3524,-9.31824,11.4155,-2.38697,-18.205,12.77,-9.24513,30.2594
19,0,9.93714,-5.74841,10.1173,-15.5304,-0.583346,-26.1518,22.4804,-8.13267,-15.7594,-31.3247,-7.46027,31.3973,9.93714,5.74841,-10.1173,34.7347,11.3437,-8.59037,10.3994,-2.15179,-18.9419,12.832,-9.53264,31.0329
20,0,9.63365,-5.57845,10.17,-15.1932,-0.670698,-26.4699,25.281,-8.72662,-14.7953,-30.9895,-7.26259,30.695,9.63365,5.57845,-10.17,34.0015,11.2916,-7.82278,9.67643,-1.97919,-19.6151,12.774,-9.77043,31.6628
21,0,9.31008,-5.38189,10.1837,-14.7998,-0.753616,-26.7099,28.2572,-9.32295,-13.7504,-30.3399,-7.02049,29.8202,9.31008,5.38189,-10.1837,33.3292,11.1956,-7.0522,9.24229,-1.86644,-20.2231,12.5956,-9.96917,32.1825
22,0,8.97189,-5.16357,10.1619,-14.3541,-0.834003,-26.878,31.3823,-9.90917,-12.6478,-29.4455,-6.73399,28.7644,8.97189,5.16357,-10.1619,32.7174,11.0577,-6.29744,9.08811,-1.79978,-20.72,12.2891,-10.1134,32.5558
23,0,8.62689,-4.92521,10.1071,-13.8557,-0.911308,-26.978,34.6292,-10.4735,-11.5154,-28.3802,-6.40633,27.5294,8.62689,4.92521,-10.1071,32.1681,10.8776,-5.56602,9.19836,-1.76564,-21.1196,11.8537,-10.2075,32.7976
24,0,8.2811,-4.67596,10.0229,-13.3049,-0.991638,-27.0165,37.972,-11.0054,-10.3812,-27.2109,-6.04333,26.1272,8.2811,4.67596,-10.0229,31.6823,10.6614,-4.90492,9.56152,-1.75432,-21.3656,11.2927,-10.2408,32.8829
25,0,7.94697,-4.42075,9.91335,-12.6935,-1.07807,-26.9981,41.3858,-11.4951,-9.27218,-25.9943,-5.65266,24.5785,7.94697,4.42075,-9.91335,31.2671,10.413,-4.32161,10.1607,-1.75265,-21.4694,10.6175,-10.2163,32.82
26,0,7.63732,-4.16298,9.78311,-12.0107,-1.17247,-26.9259,44.8479,-11.9339,-8.22319,-24.7774,-5.24531,22.9208,7.63732,4.16298,-9.78311,30.9298,10.1357,-3.84339,10.9814,-1.75395,-21.4076,9.85314,-10.1319,32.6035
27,0,7.35894,-3.90967,9.63638,-11.2515,-1.27897,-26.8023,48.3356,-12.3126,-7.25761,-23.5911,-4.8309,21.1906,7.35894,3.90967,-9.63638,30.6723,9.83554,-3.48142,12.0053,-1.75043,-21.1574,9.02665,-9.98062,32.2122
28,0,7.12537,-3.66598,9.47809,-10.4024,-1.4016,-26.6308,51.8298,-12.6249,-6.40248,-22.455,-4.42055,19.4356,7.12537,3.66598,-9.47809,30.5061,9.51914,-3.25142,13.2221,-1.7415,-20.704,8.18708,-9.76346,31.6445
29,0,6.9435,-3.4386,9.31312,-9.45589,-1.54506,-26.4139,55.3112,-12.8642,-5.67968,-21.3792,-4.02447,17.7038,6.9435,3.4386,-9.31312,30.432,9.19462,-3.13573,14.6125,-1.72177,-20.0447,7.381,-9.47589,30.8813
30,0,6.8237,-3.23286,9.14613,-8.40033,-1.7141,-26.157,58.7621,-13.0288,-5.11167,-20.3667,-3.65322,16.049,6.8237,3.23286,-9.14613,30.4594,8.87079,-3.13789,16.1675,-1.6961,-19.1631,6.66822,-9.1194,29.917
31,0,6.77091,-3.05521,8.98194,-7.22897,-1.91442,-25.8656,62.1661,-13.1181,-4.71319,-19.4151,-3.31535,14.5179,6.77091,3.05521,-8.98194,30.5899,8.55918,-3.23943,17.8745,-1.66725,-18.0511,6.10059,-8.69217,28.7352
32,0,6.78877,-2.91168,8.82379,-5.93579,-2.15249,-25.5438,65.5084,-13.134,-4.49853,-18.5192,-3.01901,13.1569,6.78877,2.91168,-8.82379,30.8226,8.27191,-3.42376,19.717,-1.64154,-16.7173,5.7182,-8.20062,27.3398
33,0,6.87896,-2.80807,8.67541,-4.51651,-2.43475,-25.1972,68.7755,-13.0819,-4.48062,-17.672,-2.77173,12.0093,6.87896,2.80807,-8.67541,31.1506,8.02244,-3.6631,21.6748,-1.62203,-15.1451,5.54707,-7.63843,25.6976
34,0,7.0402,-2.74978,8.53842,-2.96881,-2.76799,-24.8304,71.9567,-12.9705,-4.66443,-16.8649,-2.5789,11.1073,7.0402,2.74978,-8.53842,31.5668,7.82318,-3.95843,23.7244,-1.62334,-13.3851,5.59409,-7.03083,23.868
