Events
200
Subject,Context,Name,Time (s),Description
Id_5,Left,Foot Off,0.085,The instant the toe leaves the ground
Id_5,Left,Foot Strike,0.445,The instant the heel strikes the ground
Id_5,Left,Foot Off,0.765,The instant the toe leaves the ground
Id_5,Left,Foot Strike,1.145,The instant the heel strikes the ground
Id_5,Left,Foot Off,1.465,The instant the toe leaves the ground
Id_5,Left,Foot Strike,1.835,The instant the heel strikes the ground
Id_5,Left,Foot Off,2.16,The instant the toe leaves the ground
Id_5,Left,Foot Strike,2.53,The instant the heel strikes the ground
Id_5,Left,Foot Off,2.84,The instant the toe leaves the ground
Id_5,Left,Foot Strike,3.23,The instant the heel strikes the ground
Id_5,Left,Foot Off,3.535,The instant the toe leaves the ground
Id_5,Left,Foot Strike,3.915,The instant the heel strikes the ground
Id_5,Left,Foot Off,4.23,The instant the toe leaves the ground
Id_5,Left,Foot Strike,4.595,The instant the heel strikes the ground
Id_5,Left,Foot Off,4.91,The instant the toe leaves the ground
Id_5,Left,Foot Strike,5.295,The instant the heel strikes the ground
Id_5,Left,Foot Off,5.6,The instant the toe leaves the ground
Id_5,Left,Foot Strike,5.975,The instant the heel strikes the ground
Id_5,Left,Foot Off,6.285,The instant the toe leaves the ground
Id_5,Left,Foot Strike,6.67,The instant the heel strikes the ground
Id_5,Left,Foot Off,6.98,The instant the toe leaves the ground
Id_5,Left,Foot Strike,7.355,The instant the heel strikes the ground
Id_5,Left,Foot Off,7.665,The instant the toe leaves the ground
Id_5,Left,Foot Strike,8.045,The instant the heel strikes the ground
Id_5,Left,Foot Off,8.355,The instant the toe leaves the ground
Id_5,Left,Foot Strike,8.73,The instant the heel strikes the ground
Id_5,Left,Foot Off,9.04,The instant the toe leaves the ground
Id_5,Left,Foot Strike,9.415,The instant the heel strikes the ground
Id_5,Left,Foot Off,9.73,The instant the toe leaves the ground
Id_5,Left,Foot Strike,10.11,The instant the heel strikes the ground
Id_5,Left,Foot Off,10.425,The instant the toe leaves the ground
Id_5,Left,Foot Strike,10.785,The instant the heel strikes the ground
Id_5,Left,Foot Off,11.105,The instant the toe leaves the ground
Id_5,Left,Foot Strike,11.48,The instant the heel strikes the ground
Id_5,Left,Foot Off,11.805,The instant the toe leaves the ground
Id_5,Left,Foot Strike,12.185,The instant the heel strikes the ground
Id_5,Left,Foot Off,12.51,The instant the toe leaves the ground
Id_5,Left,Foot Strike,12.875,The instant the heel strikes the ground
Id_5,Left,Foot Off,13.2,The instant the toe leaves the ground
Id_5,Left,Foot Strike,13.56,The instant the heel strikes the ground
Id_5,Left,Foot Off,13.895,The instant the toe leaves the ground
Id_5,Left,Foot Strike,14.27,The instant the heel strikes the ground
Id_5,Left,Foot Off,14.6,The instant the toe leaves the ground
Id_5,Left,Foot Strike,14.965,The instant the heel strikes the ground
Id_5,Right,Foot Strike,0.09,The instant the heel strikes the ground
Id_5,Right,Foot Off,0.42,The instant the toe leaves the ground
Id_5,Right,Foot Strike,0.78,The instant the heel strikes the ground
Id_5,Right,Foot Off,1.11,The instant the toe leaves the ground
Id_5,Right,Foot Strike,1.49,The instant the heel strikes the ground
Id_5,Right,Foot Off,1.81,The instant the toe leaves the ground
Id_5,Right,Foot Strike,2.17,The instant the heel strikes the ground
Id_5,Right,Foot Off,2.5,The instant the toe leaves the ground
Id_5,Right,Foot Strike,2.88,The instant the heel strikes the ground
Id_5,Right,Foot Off,3.19,The instant the toe leaves the ground
Id_5,Right,Foot Strike,3.565,The instant the heel strikes the ground
Id_5,Right,Foot Off,3.885,The instant the toe leaves the ground
Id_5,Right,Foot Strike,4.25,The instant the heel strikes the ground
Id_5,Right,Foot Off,4.57,The instant the toe leaves the ground
Id_5,Right,Foot Strike,4.94,The instant the heel strikes the ground
Id_5,Right,Foot Off,5.26,The instant the toe leaves the ground
Id_5,Right,Foot Strike,5.625,The instant the heel strikes the ground
Id_5,Right,Foot Off,5.94,The instant the toe leaves the ground
Id_5,Right,Foot Strike,6.305,The instant the heel strikes the ground
Id_5,Right,Foot Off,6.63,The instant the toe leaves the ground
Id_5,Right,Foot Strike,7.01,The instant the heel strikes the ground
Id_5,Right,Foot Off,7.33,The instant the toe leaves the ground
Id_5,Right,Foot Strike,7.695,The instant the heel strikes the ground
Id_5,Right,Foot Off,8.02,The instant the toe leaves the ground
Id_5,Right,Foot Strike,8.38,The instant the heel strikes the ground
Id_5,Right,Foot Off,8.695,The instant the toe leaves the ground
Id_5,Right,Foot Strike,9.055,The instant the heel strikes the ground
Id_5,Right,Foot Off,9.38,The instant the toe leaves the ground
Id_5,Right,Foot Strike,9.755,The instant the heel strikes the ground
Id_5,Right,Foot Off,10.075,The instant the toe leaves the ground
Id_5,Right,Foot Strike,10.44,The instant the heel strikes the ground
Id_5,Right,Foot Off,10.76,The instant the toe leaves the ground
Id_5,Right,Foot Strike,11.135,The instant the heel strikes the ground
Id_5,Right,Foot Off,11.455,The instant the toe leaves the ground
Id_5,Right,Foot Strike,11.82,The instant the heel strikes the ground
Id_5,Right,Foot Off,12.15,The instant the toe leaves the ground
Id_5,Right,Foot Strike,12.525,The instant the heel strikes the ground
Id_5,Right,Foot Off,12.855,The instant the toe leaves the ground
Id_5,Right,Foot Strike,13.22,The instant the heel strikes the ground
Id_5,Right,Foot Off,13.54,The instant the toe leaves the ground
Id_5,Right,Foot Strike,13.895,The instant the heel strikes the ground
Id_5,Right,Foot Off,14.235,The instant the toe leaves the ground
Id_5,Right,Foot Strike,14.6,The instant the heel strikes the ground
Id_5,Right,Foot Off,14.94,The instant the toe leaves the ground

